;rede_id;redner_id;redner_name;fraktion;rolle_kurz;sitzung-nr;sitzung-datum;rede_länge;anti_eliticm;people_centrism;left_wing_ideology;right_wing_ideology
0;ID20600100;11003530;Otto Fricke;FDP;;6;09.12.2021;808;0.009331002;0.0075036036;0.0046320143;0.0038551814
1;ID20600200;11003780;Andreas Jung;CDU/CSU;;6;09.12.2021;442;0.12309321;0.036744762;0.0066669355;0.003997756
2;ID20600300;11004407;Andreas Schwarz;SPD;;6;09.12.2021;744;0.011847846;0.01624768;0.0049685836;0.004063826
3;ID20600400;11004675;Peter Boehringer;AFD;;6;09.12.2021;457;0.18053417;0.03247452;0.08551443;0.005194032
4;ID20600500;11004070;Sven-Christian Kindler;BÜNDNIS 90/DIE GRÜNEN;;6;09.12.2021;697;0.025669115;0.015004381;0.01882029;0.0040657166
5;ID20600600;11004849;Victor Perli;DIE LINKE;;6;09.12.2021;302;0.1778231;0.013315434;0.11346879;0.005187784
6;ID20600700;11003815;Carsten Müller;CDU/CSU;;6;09.12.2021;449;0.079648845;0.010284785;0.013394589;0.003873727
7;ID20600800;11004442;Bernd Westphal;SPD;;6;09.12.2021;578;0.07715882;0.018727956;0.005780559;0.0044544553
8;ID20600900;11004366;Florian Oßner;CDU/CSU;;6;09.12.2021;283;0.122018054;0.0252279;0.032314114;0.012020124
9;ID20601000;11004883;Felix Schreiner;CDU/CSU;;6;09.12.2021;404;0.041556373;0.021927886;0.006173783;0.032927394
10;ID20601100;11004393;Johann Saathoff;SPD;;6;09.12.2021;592;0.012262477;0.014533528;0.0054388833;0.004973779
11;ID20601200;11004899;Dr. Dirk Spaniel;AFD;;6;09.12.2021;371;0.16370882;0.04250137;0.050909333;0.0066877226
12;ID20601300;11004726;Stefan Gelbhaar;BÜNDNIS 90/DIE GRÜNEN;;6;09.12.2021;421;0.16390142;0.009303811;0.033077896;0.006095021
13;ID20601400;11004103;Thomas Lutze;DIE LINKE;;6;09.12.2021;301;0.07469281;0.013879394;0.007026096;0.005365505
14;ID20601500;11004864;Bernd Reuther;FDP;;6;09.12.2021;454;0.048613794;0.018554697;0.01566033;0.0045881136
15;ID20601600;11004710;Dr. Wiebke Esdar;SPD;;6;09.12.2021;800;0.103849135;0.017765686;0.011259932;0.0047024484
16;ID20601700;11004899;Dr. Dirk Spaniel;AFD;;6;09.12.2021;201;0.04884712;0.0073084463;0.005253487;0.0037481268
17;ID20601800;11004710;Dr. Wiebke Esdar;SPD;;6;09.12.2021;70;0.08320915;0.008868048;0.005684189;0.006671343
18;ID20601900;11004854;Dr. Christoph Ploß;CDU/CSU;;6;09.12.2021;560;0.030851573;0.07638951;0.028142452;0.005239781
19;ID20602000;11004278;Matthias Gastel;BÜNDNIS 90/DIE GRÜNEN;;6;09.12.2021;310;0.29764724;0.0069738054;0.022384105;0.012275943
20;ID20602100;11004384;Alois Rainer;CDU/CSU;;6;09.12.2021;356;0.044978704;0.009405374;0.0055044936;0.007666343
21;ID20602200;11003068;Ekin Deligöz;BÜNDNIS 90/DIE GRÜNEN;;6;09.12.2021;850;0.030932056;0.03741181;0.033287663;0.0051256856
22;ID20602300;11004116;Nadine Schön;CDU/CSU;;6;09.12.2021;503;0.084462196;0.011241371;0.006523128;0.0047943224
23;ID20602400;11003830;Sönke Rix;SPD;;6;09.12.2021;501;0.02437399;0.013675997;0.005263715;0.004620404
24;ID20602500;11004859;Martin Reichardt;AFD;;6;09.12.2021;425;0.18031542;0.07897967;0.04083556;0.011598123
25;ID20602600;11004890;Matthias Seestern-Pauly;FDP;;6;09.12.2021;553;0.124291785;0.019147053;0.007729683;0.005140622
26;ID20602700;11004041;Nicole Gohlke;DIE LINKE;;6;09.12.2021;638;0.048415504;0.008707182;0.02369076;0.0046135206
27;ID20602800;11004063;Oliver Kaczmarek;SPD;;6;09.12.2021;817;0.0115900505;0.049154133;0.010931654;0.005009911
28;ID20602900;11004336;Dr. Silke Launert;CDU/CSU;;6;09.12.2021;661;0.12906337;0.0099774515;0.005837098;0.0053399582
29;ID20603000;11004873;Ulrike Schielke-Ziesing;AFD;;6;09.12.2021;648;0.2473263;0.07221761;0.09467193;0.060493834
30;ID20603100;11004328;Cansel Kiziltepe;SPD;;6;09.12.2021;487;0.2470955;0.02844351;0.02594071;0.008174019
31;ID20603200;11004912;Dr. Hermann-Josef Tebroke;CDU/CSU;;6;09.12.2021;641;0.018810987;0.02585064;0.009862784;0.0043100277
32;ID20603300;11004127;Lisa Paus;BÜNDNIS 90/DIE GRÜNEN;;6;09.12.2021;789;0.13870603;0.021074735;0.034732305;0.0047656246
33;ID20603400;11004911;Jessica Tatti;DIE LINKE;;6;09.12.2021;311;0.088533066;0.03675209;0.06633096;0.0056950073
34;ID20603500;11004075;Pascal Kober;FDP;;6;09.12.2021;489;0.07180328;0.0068708826;0.005460287;0.0044559343
35;ID20603600;11004389;Dr. Martin Rosemann;SPD;;6;09.12.2021;720;0.07269508;0.02730105;0.016666315;0.0056982893
36;ID20603700;11005257;Dr. Klaus Wiener;CDU/CSU;;6;09.12.2021;332;0.013024331;0.0065308376;0.0047738813;0.004448931
37;ID20603800;11004389;Dr. Martin Rosemann;SPD;;6;09.12.2021;346;0.036156386;0.008319447;0.0046378593;0.004628488
38;ID20603900;11003132;Katrin Göring-Eckardt;BÜNDNIS 90/DIE GRÜNEN;;6;09.12.2021;6;0.0077452804;0.008874324;0.004870795;0.0034278575
39;ID20604000;11004418;Johannes Steiniger;CDU/CSU;;6;09.12.2021;718;0.031456154;0.024197334;0.00622136;0.004341852
40;ID20604100;11004181;Kathrin Vogler;DIE LINKE;;6;09.12.2021;409;0.15232259;0.010958008;0.13893655;0.006255441
41;ID20604200;11004244;Heike Baehrens;SPD;;6;09.12.2021;409;0.013931266;0.018179683;0.010751508;0.00465946
42;ID20604300;11003551;Michael Hennrich;CDU/CSU;;6;09.12.2021;858;0.055043355;0.01763785;0.038517207;0.0048818104
43;ID20604400;11004962;Dr. Janosch Dahmen;BÜNDNIS 90/DIE GRÜNEN;;6;09.12.2021;712;0.010629782;0.009422293;0.0051493826;0.0045393133
44;ID20604500;11004880;Jörg Schneider;AFD;;6;09.12.2021;462;0.13543159;0.0066235694;0.026907148;0.012770235
45;ID20604600;11004922;Dr. Andrew Ullmann;FDP;;6;09.12.2021;680;0.055355933;0.00987287;0.0056593795;0.0050017666
46;ID20604700;11004413;Martina Stamm-Fibich;SPD;;6;09.12.2021;657;0.010557195;0.008467788;0.0055678794;0.004726347
47;ID20604800;11004853;Stephan Pilsinger;CDU/CSU;;6;09.12.2021;507;0.11654286;0.009929904;0.0072910707;0.021541283
48;ID20604900;11004182;Dr. Johann David Wadephul;CDU/CSU;;6;09.12.2021;771;0.02078437;0.008681473;0.0043658344;0.0045051533
